transaction_id,created_at,completed_at,type,source_type,card_name,card_last4,reference,amount,user_amount,settled_amount,exchange_rate,currency,status,linked_transaction_id,fee,merchant,mcc,gateway_ref
"WLF15-CD-0132","14/08/2026 | 12:01 AM","14/08/2026 | 12:01 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Vultr","-44.64","44.64 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0018","12/08/2026 | 09:35 PM","12/08/2026 | 09:35 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription GOOGLE *YOUTUBEPREM","-13.99","13.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0194","11/08/2026 | 11:21 PM","11/08/2026 | 11:21 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for APPLE.COM/BILL","-0.58","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0193","11/08/2026 | 11:20 PM","11/08/2026 | 11:20 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Apple","-57.54","57.54 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0012","09/08/2026 | 07:11 PM","09/08/2026 | 07:11 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription Spotify P0F2K","-9.99","9.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0056","2026-08-09T09:47:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","2001.66","","","","USD","Success","","","","",""
"WLF15-CD-0120","08/08/2026 | 07:50 PM","08/08/2026 | 07:50 PM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","The Coffee House","-3.73","3.73 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0144","08/08/2026 | 11:27 AM","08/08/2026 | 11:27 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-1936.92","1,936.92 USD","","-","USD","Success","","","","",""
"WLF15-WL-0055","2026-08-07T20:27:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","1522.1","","","","USD","Success","","","","",""
"WLF15-CD-0006","06/08/2026 | 07:56 PM","06/08/2026 | 07:56 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription NETFLIX.COM","-17.99","17.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0162","04/08/2026 | 02:37 PM","04/08/2026 | 02:37 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Shopee","-150.23","150.23 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0024","04/08/2026 | 02:07 AM","04/08/2026 | 02:07 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription OPENAI *CHATGPT SUBSCR","-20","20.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0118","03/08/2026 | 08:38 AM","03/08/2026 | 08:38 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Amazon","-145.34","145.34 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0115","03/08/2026 | 02:53 AM","03/08/2026 | 02:53 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Grab","-10.71","10.71 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0218","02/08/2026 | 10:47 AM","02/08/2026 | 10:47 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Unrecognized","-9.99","9.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0083","01/08/2026 | 11:04 PM","01/08/2026 | 11:04 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Amazon","-98.71","98.71 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0091","01/08/2026 | 08:23 AM","01/08/2026 | 08:23 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Facebook Ads","-296.06","296.06 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0100","01/08/2026 | 01:52 AM","01/08/2026 | 01:52 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Namecheap","-27.71","27.71 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0200","30/07/2026 | 05:33 PM","30/07/2026 | 05:33 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for SHOPEE *ORDER","-0.49","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0199","30/07/2026 | 05:32 PM","30/07/2026 | 05:32 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Shopee","-48.86","48.86 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0072","29/07/2026 | 10:52 PM","29/07/2026 | 10:52 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Lazada","-101.04","101.04 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0127","29/07/2026 | 03:33 AM","29/07/2026 | 03:33 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","The Coffee House","-32.32","32.32 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0168","28/07/2026 | 10:51 PM","28/07/2026 | 10:51 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Facebook Ads","-570.66","570.66 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0062","28/07/2026 | 06:46 PM","28/07/2026 | 06:46 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription NORDVPN *MONTHLY","-3.99","3.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0123","28/07/2026 | 03:39 PM","28/07/2026 | 03:39 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Uber","-27.27","27.27 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0159","28/07/2026 | 03:06 AM","28/07/2026 | 03:06 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Shopee","-30.66","30.66 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0056","28/07/2026 | 12:15 AM","28/07/2026 | 12:15 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription CLOUDWAYS HOSTING","-16","16.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0163","27/07/2026 | 12:01 PM","27/07/2026 | 12:01 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Vultr","-52.98","52.98 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0050","24/07/2026 | 04:53 PM","24/07/2026 | 04:53 PM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription FIGMA.COM","-15","15.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0037","2026-07-22T19:42:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Paypal (USD)","410.96","","","","USD","Success","","","","",""
"WLF15-CD-0113","22/07/2026 | 04:40 AM","22/07/2026 | 04:40 AM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for GRAB* RIDE HCM","-0.18","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0112","22/07/2026 | 04:39 AM","22/07/2026 | 04:39 AM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Grab","-18.04","18.04 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0044","21/07/2026 | 09:13 PM","21/07/2026 | 09:13 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription CANVA* PRO MONTHLY","-12.99","12.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0143","21/07/2026 | 10:15 AM","21/07/2026 | 10:15 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-1689.29","1,689.29 USD","","-","USD","Success","","","","",""
"WLF15-WL-0036","2026-07-21T08:15:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Paypal (USD)","977.74","","","","USD","Success","","","","",""
"WLF15-WL-0058","20/07/2026 | 05:00 PM","20/07/2026 | 05:00 PM","Rút tiền về ví","Ví","-","","Nạp vào thẻ Volcano EU (VC04) — tiền đã rời ví","-300","300.00 USD","300.00 USD","","USD","Success","","","","",""
"WLF15-CD-0219","20/07/2026 | 05:00 PM","","Nạp tiền vào thẻ","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Nạp thẻ (chưa vào thẻ)","300","300.00 USD","300.00 EUR","","EUR","Pending","","","","",""
"WLF15-CD-0198","20/07/2026 | 06:11 AM","20/07/2026 | 06:11 AM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for SQ *THE COFFEE HOUSE","-0.3","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0197","20/07/2026 | 06:10 AM","20/07/2026 | 06:10 AM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","The Coffee House","-30.23","30.23 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0191","19/07/2026 | 01:31 PM","19/07/2026 | 01:31 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for UBER *EATS","-0.18","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0190","19/07/2026 | 01:30 PM","19/07/2026 | 01:30 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Uber","-18.25","18.25 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0089","19/07/2026 | 10:48 AM","19/07/2026 | 10:48 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Namecheap","-22.89","22.89 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0037","18/07/2026 | 06:14 PM","18/07/2026 | 06:14 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription PADDLE.NET* NOTION","-10","10.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0188","17/07/2026 | 02:15 PM","17/07/2026 | 02:15 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Namecheap","-22.55","22.55 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0030","15/07/2026 | 05:21 PM","15/07/2026 | 05:21 PM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription ADOBE *CREATIVE CLD","-54.99","54.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0017","12/07/2026 | 03:14 PM","12/07/2026 | 03:14 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription GOOGLE *YOUTUBEPREM","-13.99","13.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0186","12/07/2026 | 12:21 PM","12/07/2026 | 12:21 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Grab","-16.41","16.41 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0142","12/07/2026 | 01:41 AM","12/07/2026 | 01:41 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2014.08","2,014.08 USD","","-","USD","Success","","","","",""
"WLF15-WL-0054","2026-07-11T16:41:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","2164.6","","","","USD","Success","","","","",""
"WLF15-CD-0180","11/07/2026 | 12:54 PM","11/07/2026 | 12:54 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for ALIEXPRESS.COM","-2.37","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0179","11/07/2026 | 12:53 PM","11/07/2026 | 12:53 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","AliExpress","-237.21","237.21 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-CD-0011","09/07/2026 | 03:19 PM","","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription Spotify P0F2K","-9.99","9.99 USD","","NaN = 1 USD","USD","Pending","","NaN undefined","","",""
"WLF15-WL-0141","09/07/2026 | 01:58 AM","09/07/2026 | 01:58 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-1679.05","1,679.05 USD","","-","USD","Success","","","","",""
"WLF15-CD-0105","08/07/2026 | 05:34 PM","08/07/2026 | 05:34 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for NAMECHEAP* DOMAIN","-0.29","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0104","08/07/2026 | 05:33 PM","08/07/2026 | 05:33 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Namecheap","-29.03","29.03 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-WL-0053","2026-07-08T16:58:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","2044.27","","","","USD","Success","","","","",""
"WLF15-CD-0122","07/07/2026 | 12:49 AM","07/07/2026 | 12:49 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Booking.com","-580.23","580.23 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0005","06/07/2026 | 07:43 PM","06/07/2026 | 07:43 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription NETFLIX.COM","-17.99","17.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0139","06/07/2026 | 06:16 PM","06/07/2026 | 06:16 PM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2130.11","2,130.11 USD","","-","USD","Success","","","","",""
"WLF15-WL-0140","06/07/2026 | 08:29 AM","06/07/2026 | 08:29 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2538.49","2,538.49 USD","","-","USD","Success","","","","",""
"WLF15-WL-0052","2026-07-06T04:29:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","2550.57","","","","USD","Success","","","","",""
"WLF15-CD-0214","06/07/2026 | 03:17 AM","06/07/2026 | 03:17 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Shopee order (DUPLICATE)","-42.3","42.30 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0035","2026-07-06T03:16:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Paypal (USD)","2298.57","","","","USD","Success","","","","",""
"WLF15-CD-0213","06/07/2026 | 03:14 AM","06/07/2026 | 03:14 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Shopee order","-42.3","42.30 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0097","05/07/2026 | 03:09 PM","05/07/2026 | 03:09 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for BOOKING.COM 9931","-2.2","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0096","05/07/2026 | 03:08 PM","","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Booking.com","-220.34","220.34 USD","","NaN = 1 USD","EUR","Cancel","","NaN undefined","","",""
"WLF15-CD-0023","04/07/2026 | 12:41 AM","04/07/2026 | 12:41 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription OPENAI *CHATGPT SUBSCR","-20","20.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0109","03/07/2026 | 12:36 AM","03/07/2026 | 12:36 AM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Apple","-29.25","29.25 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0147","02/07/2026 | 02:44 AM","","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Booking.com","-168.74","168.74 USD","","NaN = 1 USD","USD","Cancel","","NaN undefined","","",""
"WLF15-CD-0063","02/07/2026 | 12:51 AM","02/07/2026 | 12:51 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Shopee","-149.71","149.71 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0146","01/07/2026 | 06:10 PM","01/07/2026 | 06:10 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Booking.com","-588.8","588.80 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0138","01/07/2026 | 01:45 PM","01/07/2026 | 01:45 PM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2284.47","2,284.47 USD","","-","USD","Success","","","","",""
"WLF15-WL-0018","2026-06-30T18:45:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Payoneer (USD)","2486.79","","","","USD","Success","","","","",""
"WLF15-CD-0161","30/06/2026 | 10:11 AM","30/06/2026 | 10:11 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Steam","-31.72","31.72 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0081","30/06/2026 | 02:24 AM","","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee for STEAMGAMES.COM","-0.53","","NaN EUR","","EUR","Cancel","","","","",""
"WLF15-CD-0080","30/06/2026 | 02:23 AM","30/06/2026 | 02:23 AM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","Steam","-52.54","52.54 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-WL-0137","29/06/2026 | 12:09 AM","29/06/2026 | 12:09 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2503.56","2,503.56 USD","","-","USD","Success","","","","",""
"WLF15-CD-0061","28/06/2026 | 10:56 PM","28/06/2026 | 10:56 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription NORDVPN *MONTHLY","-3.99","3.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0217","28/06/2026 | 10:02 PM","28/06/2026 | 10:02 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee (DUPLICATE)","-0.66","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0216","28/06/2026 | 10:01 PM","28/06/2026 | 10:01 PM","Rút tiền từ ví","Ví","Volcano EU","xxxx xxxx xxxx 0004","FX fee","-0.66","","NaN EUR","","EUR","Success","","","","",""
"WLF15-CD-0215","28/06/2026 | 10:00 PM","28/06/2026 | 10:00 PM","Thẻ chi tiêu","Thẻ","Volcano EU","xxxx xxxx xxxx 0004","AliExpress (EUR)","-65.88","65.88 USD","","NaN = 1 USD","EUR","Success","","NaN undefined","","",""
"WLF15-WL-0034","2026-06-28T06:09:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Paypal (USD)","1499.9","","","","USD","Success","","","","",""
"WLF15-CD-0055","27/06/2026 | 04:59 PM","27/06/2026 | 04:59 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Subscription CLOUDWAYS HOSTING","-16","16.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0093","25/06/2026 | 10:01 PM","25/06/2026 | 10:01 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Amazon","-66.22","66.22 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0051","2026-06-25T20:18:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","468.87","","","","USD","Success","","","","",""
"WLF15-CD-0094","25/06/2026 | 01:50 AM","25/06/2026 | 01:50 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Booking.com","-585.37","585.37 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0170","24/06/2026 | 07:17 PM","24/06/2026 | 07:17 PM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Lazada","-75.53","75.53 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0049","24/06/2026 | 05:12 PM","24/06/2026 | 05:12 PM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","Subscription FIGMA.COM","-15","15.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0136","24/06/2026 | 06:21 AM","24/06/2026 | 06:21 AM","Tham chiếu","Ví","-","","Rút về ngân hàng ACB ****2231","-2591.12","2,591.12 USD","","-","USD","Success","","","","",""
"WLF15-CD-0160","24/06/2026 | 02:12 AM","24/06/2026 | 02:12 AM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","Apple","-17.8","17.80 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0150","23/06/2026 | 12:35 PM","23/06/2026 | 12:35 PM","Thẻ chi tiêu","Thẻ","Volcano Subs","xxxx xxxx xxxx 0002","AliExpress","-24.61","24.61 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0033","2026-06-23T09:21:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Paypal (USD)","2246.52","","","","USD","Success","","","","",""
"WLF15-CD-0210","22/06/2026 | 05:00 PM","22/06/2026 | 05:00 PM","Hoàn tiền về thẻ","Thẻ","Zenith Main","0003","Hotel refund","88","88.00 USD","","NaN = 1 USD","USD","Success","","","","",""
"WLF15-CD-0043","21/06/2026 | 08:40 PM","21/06/2026 | 08:40 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription CANVA* PRO MONTHLY","-12.99","12.99 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0189","20/06/2026 | 05:48 PM","20/06/2026 | 05:48 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Amazon","-180.94","180.94 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0196","20/06/2026 | 05:13 PM","","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Shopee","-190.22","190.22 USD","","NaN = 1 USD","USD","Pending","","NaN undefined","","",""
"WLF15-CD-0139","20/06/2026 | 01:09 AM","20/06/2026 | 01:09 AM","Thẻ chi tiêu","Thẻ","Zenith Main","xxxx xxxx xxxx 0003","The Coffee House","-30.55","30.55 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-CD-0036","18/06/2026 | 06:11 PM","18/06/2026 | 06:11 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Subscription PADDLE.NET* NOTION","-10","10.00 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
"WLF15-WL-0050","2026-06-16T22:36:00.000Z","","Nạp tiền","Ví","-","","Nhận & chuyển về ví: Amazon (USD)","282.76","","","","USD","Success","","","","",""
"WLF15-CD-0117","16/06/2026 | 01:09 PM","16/06/2026 | 01:09 PM","Thẻ chi tiêu","Thẻ","Volcano Ads","xxxx xxxx xxxx 0001","Lazada","-77.79","77.79 USD","","NaN = 1 USD","USD","Success","","NaN undefined","","",""
